矩阵行号,原始样本序号,情感标签,情感含义,原始评论,预处理后文本,词项列号,对应词项,TF-IDF值,含义说明
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,41159,认真对待,0.439002,第0行样本中，词汇表第41159列词项“认真对待”的TF-IDF值为0.4390
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,2929,事要,0.396354,第0行样本中，词汇表第2929列词项“事要”的TF-IDF值为0.3964
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,17928,开除,0.378516,第0行样本中，词汇表第17928列词项“开除”的TF-IDF值为0.3785
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,18120,张晓鹏,0.362101,第0行样本中，词汇表第18120列词项“张晓鹏”的TF-IDF值为0.3621
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,11153,土耳其,0.344192,第0行样本中，词汇表第11153列词项“土耳其”的TF-IDF值为0.3442
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,36982,细心,0.344192,第0行样本中，词汇表第36982列词项“细心”的TF-IDF值为0.3442
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,628,丁丁,0.310347,第0行样本中，词汇表第628列词项“丁丁”的TF-IDF值为0.3103
0,1,1,积极,@张晓鹏jonathan 土耳其的事要认真对待[哈哈]，否则直接开除。@丁丁看世界 很是细心，酒店都全部OK啦。,张晓鹏 土耳其 事要 认真对待 开除 丁丁 世界 细心,1727,世界,0.206248,第0行样本中，词汇表第1727列词项“世界”的TF-IDF值为0.2062
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,25478,李欣芸,0.397005,第1行样本中，词汇表第25478列词项“李欣芸”的TF-IDF值为0.3970
1,2,1,积极,姑娘都羡慕你呢…还有招财猫高兴……//@爱在蔓延-JC:[哈哈]小学徒一枚，等着明天见您呢//@李欣芸SharonLee:大佬范儿[书呆子],姑娘 羡慕 招财猫 爱 蔓延 学徒 一枚 明天 李欣芸 大佬 范儿 书呆子,21190,招财猫,0.368853,第1行样本中，词汇表第21190列词项“招财猫”的TF-IDF值为0.3689
